ABL,MCB,ABOT,AICL,AGP,AGIL,ARPL,AKBL,ATLH,APL,ATRL,BAHL,BAFL,BNWM,BWCL,BYCO,CHCC,COLG,DGKC,DAWH,DCR,EFUG,ENGRO,EFERT,EFOODS,EPCL,FATIMA,FCCL,FFC,FFBL,FABL,FHAM,GADT,GHGL,GLAXO,GSKCH,GATM,HBL,HMB,HASCOL,HCAR,IBFL,ICI,IGIHL,INDU,INIL,ISL,JLICL,KEL,KOHC,KTML,KAPCO,LOTCHEM,LUCK,MLCF,MARI,MEBL,MTL,MUREB,NBP,NATF,NRL,NESTLE,NCL,NCPL,NML,OGDC,OLPL,PKGS,PAEL,PSMC,PTC,POL,PPL,PSO,PSX,PAKT,PMPK,PIOC,SPWL,SRVI,SHEL,SHFA,SCBPL,SNGP,SSGC,SYS,THALL,BOP,HUBC,SEARL,UBL
1522,4978,11610,1538,76,11197,27807,4325,46561,5080,1596,21808,1366,2055,2782,116,1738,42247,342,11032,163,6795,5702,422,258,427,247,318,14070,1076,975,10812,1126,68809,1797,435,8711,212,5265,541,12365,2413,2998,13398,30519,18640,422,4624,21,17394,1738,420,373,16738,62,46620,16058,381861,23285,3780,201801,1223,25233,10406,567,7821,641,678,10282,187,908,98,20622,3561,5749,54,30202,294019,149,100,6820,3883,10801,83,818,473,300,242087,185,5761,8565,1250
1537,4899,12387,1507,67,11191,28803,4164,45576,5119,1508,21720,1355,2059,2801,119,1552,41726,310,11470,163,6292,4478,416,259,430,229,302,14061,1095,913,10930,1146,67662,1703,455,8341,210,5309,548,13287,2483,3159,14303,31065,15157,447,4622,21,18120,1693,428,365,16669,61,47298,16648,387976,22521,3773,203734,1099,25858,10063,587,8073,642,649,10278,194,878,100,19579,3572,5926,52,30399,287159,165,97,7066,3539,10264,82,767,451,296,236204,169,5659,8740,1320
1572,4864,12751,1541,72,11330,30298,4343,43514,5349,1517,21870,1421,1998,2709,129,1640,43939,367,11924,165,5946,3492,399,260,404,235,303,13923,1025,901,10693,1206,64026,1587,468,7924,203,5367,544,12300,2440,3323,14969,29793,15392,416,4971,20,19103,1629,421,352,17504,58,45882,17288,375403,21622,3692,207280,1053,26219,10293,579,7993,652,668,10721,180,740,99,19364,3476,6326,51,31121,306016,147,93,7409,3524,10189,83,689,437,297,244653,151,5568,8169,1334
1630,4708,13328,1509,68,11401,30898,4316,44489,5425,1240,22281,1340,1998,2662,131,1570,40543,385,11576,163,5810,2745,395,242,398,235,281,13658,1020,887,10818,1225,60123,1667,441,7532,212,5337,567,11674,2398,3294,14955,29331,15054,395,5172,20,19708,1484,395,332,17955,61,45769,18048,388676,20323,3692,208148,1193,27961,9819,623,7755,657,630,10836,181,767,103,19957,3531,6230,48,32760,299694,125,95,7599,3527,11110,80,710,472,296,245627,150,5377,8050,1392
1647,4626,13544,1445,69,11890,31356,4585,46568,5589,1219,22465,1375,1929,2712,135,1475,42682,397,11427,169,5070,1805,385,235,405,215,302,14146,1080,884,10815,1286,60336,1638,396,7275,223,5303,573,12737,2558,3181,14880,30083,18542,415,5136,20,19979,1459,398,333,17968,66,46090,17910,401329,19737,3769,211363,1313,27405,9566,597,7994,663,610,10242,188,800,99,20157,3639,6230,53,33094,302209,115,97,7833,3407,11195,83,643,428,300,244419,136,5582,7970,1377
1640,4512,13848,1382,71,11950,32878,4533,45763,5413,1123,22351,1446,1871,2874,126,1520,41506,401,11520,172,5061,1143,403,239,426,209,289,14365,1087,877,10743,1321,61069,1587,397,6910,221,5354,557,13586,2579,3178,14792,28897,18133,437,5006,20,20016,1495,423,321,18458,70,44893,17804,399523,19001,3578,216327,1348,26065,9604,591,8039,654,598,10382,216,816,99,19526,3600,6148,54,33232,295777,122,101,8165,3016,11015,83,641,433,310,252750,129,5686,7804,1416
1651,4454,14127,1378,69,11781,33640,4500,43725,5483,1222,22576,1443,1959,2790,128,1554,38311,390,11627,171,4532,552,404,261,455,192,258,14313,1096,878,10828,1356,61075,1538,394,6299,223,5249,547,12594,2411,3237,15278,27966,20936,407,4395,19,19378,1525,399,325,17570,67,44886,18446,407519,17622,3528,217974,1330,25248,9348,600,7908,663,553,10291,199,851,96,19491,3563,6283,53,33974,308524,132,98,8580,2756,10263,79,640,469,310,261238,121,5573,8234,1492
1660,4523,14679,1370,68,11951,31916,4531,42630,5224,1344,22547,1420,1874,2729,137,1567,42111,376,11608,174,4161,-57,400,256,456,177,274,14320,1111,838,10771,1369,59576,1616,402,5798,235,5419,561,12919,2472,3357,15038,27620,20888,436,4077,17,19733,1460,372,325,18533,67,46513,18632,413270,17474,3634,221237,1289,24662,8955,605,7891,670,562,10346,201,815,96,19812,3437,6055,54,34569,292984,119,92,8887,2224,9830,80,676,469,298,257283,120,5628,8090,1488
1655,4410,15151,1353,70,12177,32543,4492,41912,5099,1473,23106,1448,1774,2769,134,1504,39821,390,11564,174,3949,-689,396,241,437,157,292,14413,1224,841,10739,1399,51898,1650,402,5498,246,5457,600,12976,2525,3255,15557,28834,20762,429,4222,17,19781,1426,368,306,20087,73,46082,18523,424819,16441,3591,224687,1225,24731,9089,588,8208,660,527,10644,185,872,93,20190,3382,6088,54,33577,296911,122,87,9187,2100,9190,77,715,461,296,265708,108,5466,8093,1499
1626,4246,15703,1300,69,11725,35231,4370,42392,4674,1200,22824,1446,1892,2893,137,1624,41898,406,11919,172,3439,-955,419,240,429,153,299,14585,1213,788,10698,1391,50979,1564,434,5406,248,5382,646,11364,2540,3235,15463,30333,19391,405,4705,17,19745,1447,349,334,19013,71,45501,18382,440828,16186,3510,229743,1278,23859,9326,582,8029,663,553,10255,189,966,95,20539,3419,6184,51,33011,289509,145,88,9679,1887,8684,77,727,476,298,275107,103,5385,8103,1486
