ABL,MCB,ABOT,AICL,AGP,AGIL,ARPL,AKBL,ATLH,APL,ATRL,BAHL,BAFL,BNWM,BWCL,BYCO,CHCC,COLG,DGKC,DAWH,DCR,EFUG,ENGRO,EFERT,EFOODS,EPCL,FATIMA,FCCL,FFC,FFBL,FABL,FHAM,GADT,GHGL,GLAXO,GSKCH,GATM,HBL,HMB,HASCOL,HCAR,IBFL,ICI,IGIHL,INDU,INIL,ISL,JLICL,KEL,KOHC,KTML,KAPCO,LOTCHEM,LUCK,MLCF,MARI,MEBL,MTL,MUREB,NBP,NATF,NRL,NESTLE,NCL,NCPL,NML,OGDC,OLPL,PKGS,PAEL,PSMC,PTC,POL,PPL,PSO,PSX,PAKT,PMPK,PIOC,SPWL,SRVI,SHEL,SHFA,SCBPL,SNGP,SSGC,SYS,THALL,BOP,HUBC,SEARL,UBL
1784,2251,24069,786,62,14592,44642,4914,32979,3739,1596,24124,1576,1767,3018,148,2159,32053,571,14576,184,1495,17711,427,262,495,142,201,15201,1545,604,10652,2254,44445,857,341,5845,319,6075,1145,13634,2743,4875,16440,35113,12117,308,4807,11,24835,1329,192,218,28581,46,46018,26264,353169,22565,3139,338034,1895,20479,7881,525,9014,684,350,10528,167,716,94,18981,2641,6747,49,36616,282969,95,102,16474,5710,8806,56,543,506,305,366980,42,4448,7621,1981
1811,2008,24687,797,61,14624,47799,4878,32673,3690,1745,23793,1563,1747,2883,150,2091,34158,593,14400,181,1596,16490,426,267,484,127,270,15699,1518,590,10749,2283,40808,896,347,5832,323,6111,1185,13916,2773,4791,16845,35987,13600,320,4504,11,25517,1301,177,205,28196,46,45993,26292,355080,23151,3195,343669,1830,21141,7335,537,9077,679,359,10368,176,767,97,18519,2498,6738,46,38337,286492,108,100,16673,5591,8958,54,543,519,310,371530,34,4391,7128,2020
1870,1960,25497,750,62,14664,46213,4978,33309,3795,1658,23848,1621,1797,2986,143,2040,31146,591,14812,181,1947,16002,409,263,471,114,278,15735,1576,563,10784,2301,38552,984,345,5840,337,6176,1237,13652,2737,4733,16760,35821,11554,350,4259,11,26746,1300,178,207,28964,43,45828,26440,362021,22749,3059,350073,1852,21165,7316,530,9335,688,326,10577,165,662,91,18391,2410,6439,47,38091,281336,107,93,16871,5650,8132,56,545,504,313,360263,34,4457,7517,2073
1880,2091,25785,747,61,15099,46241,4994,32703,3336,1644,24479,1623,1726,3130,149,1962,33015,549,14988,183,1789,13909,413,259,501,116,261,15398,1609,546,10727,2320,39867,902,336,6050,354,6274,1208,13595,2787,4820,16724,35875,13293,348,3898,11,26790,1220,151,196,29144,43,44656,26975,367544,23338,3124,354268,1952,20423,7661,574,9293,682,345,10472,168,745,97,18456,2342,6535,48,38200,272765,106,97,17108,5599,7686,50,597,529,317,367867,45,4610,7380,2074
1878,2165,26467,731,62,14831,48697,5019,32588,3444,1687,24270,1586,1731,3192,152,2032,31323,565,15215,183,1771,12665,420,257,495,115,303,15495,1592,540,10824,2306,39538,925,349,6112,346,6272,1170,14194,2916,5097,16051,35473,11464,299,3916,11,27223,1182,147,183,28676,41,45287,27464,364019,23252,3081,360488,2086,19338,7568,537,9026,687,317,10812,154,721,90,18414,2380,6546,42,39476,286842,96,95,17537,5630,6713,51,524,521,313,384241,48,4434,7398,2109
1853,2078,27309,710,59,14882,50233,5028,32209,3134,1720,23993,1612,1757,3153,139,1988,29882,553,15390,179,2100,11214,433,264,489,114,279,15942,1643,560,10673,2348,41447,1168,378,6144,351,6259,1259,12700,2804,5175,16463,34839,13603,368,4336,11,27103,1165,147,196,29236,44,45385,27538,364466,22780,3005,367459,2122,19545,7140,552,9209,691,319,10546,171,597,93,18278,2454,6805,42,39942,285636,90,100,17814,5489,7096,51,523,519,310,375734,33,4458,7534,2084
1878,1809,27724,654,58,15368,48175,5007,31357,3401,1552,24192,1640,1737,2971,141,1950,32324,599,15029,180,2191,10205,420,261,492,112,290,15804,1683,542,10831,2319,41347,1131,362,6018,354,6300,1282,13883,2782,5176,17224,33648,12391,316,4871,11,26790,1146,119,183,29623,51,44271,27879,360172,22749,3050,374538,2151,18726,7573,537,9387,684,314,10450,158,754,89,18428,2514,6866,39,39322,288290,107,94,17938,5287,7025,49,519,525,316,377440,28,4455,7290,2171
1901,1911,28203,672,59,15205,47691,5012,31303,3033,1820,24776,1622,1749,3108,140,1983,29211,630,15615,183,1968,8413,424,267,518,125,295,15827,1728,538,10649,2360,35283,1161,318,6075,365,6367,1296,14962,2888,5294,16572,33544,12459,298,5112,11,26417,1148,143,174,29597,45,45085,29166,357021,22551,3096,382262,2105,18616,7585,551,9070,686,291,10734,167,668,92,18159,2419,6864,37,39725,276542,88,89,17973,5269,7985,50,470,536,323,400225,45,4176,7289,2236
1901,2181,29112,696,57,15475,51859,5127,30971,3261,1628,24543,1585,1721,3338,145,2085,31432,598,15467,181,2153,7523,426,275,549,128,272,15793,1735,480,10793,2347,35457,1152,295,6002,354,6526,1283,14286,2911,5354,16604,33687,10391,333,4985,11,26593,1072,124,173,31108,46,45274,29253,347766,21844,3082,391586,2105,19113,7270,587,9054,682,308,10611,152,702,87,18270,2336,6724,38,40675,278077,76,82,18456,5078,6750,48,449,526,330,412010,54,4166,7259,2183
1913,2125,29644,669,58,15834,52439,5031,30147,3216,1891,24122,1668,1853,3382,150,2127,29587,646,15209,184,2188,6560,436,256,530,135,316,15714,1746,511,10611,2361,39959,1146,310,5890,357,6519,1228,13685,2829,5588,16719,35412,10125,313,4613,11,27250,1100,105,179,30300,46,43975,29202,332594,21800,3035,398737,2172,19114,7328,552,9234,693,283,10811,153,706,91,18412,2186,6885,40,40574,279954,82,85,19030,4753,6863,48,488,548,331,396241,45,4214,6998,2312
1877,1893,30055,667,55,15907,50989,5125,29935,3365,1755,24722,1676,1768,3165,138,2340,29335,601,16012,189,1933,5496,422,247,498,123,279,16106,1766,484,10707,2332,42589,1246,329,5902,361,6430,1298,14794,2909,5798,16750,35244,9240,279,4094,11,28017,1066,112,166,31110,44,43959,29923,318263,21343,3069,406694,2266,18964,7424,573,9071,696,273,10578,144,576,85,18534,2241,6854,39,40442,287272,108,87,19207,4562,6023,45,431,528,323,405897,40,4064,7162,2291
1910,1748,30825,658,58,15828,52296,5101,29694,3351,1944,25003,1572,1805,2990,135,2349,31226,608,16116,189,2073,4525,423,256,477,140,232,16386,1789,496,10756,2370,41622,1048,338,5884,372,6456,1338,13988,2873,5999,16585,35557,11055,316,3748,11,29370,1109,107,155,32583,42,43894,30905,319530,20345,3017,414054,2375,19268,7399,551,9074,699,253,10375,159,785,89,18556,2230,6773,42,40500,278509,96,97,19307,4378,6581,42,490,504,321,420949,51,4004,6830,2275
1913,2003,31464,629,55,16079,54494,5159,29533,3268,1754,24622,1646,1850,3279,138,2545,28125,605,15854,188,2109,3575,421,251,493,132,251,16070,1827,461,10719,2379,41090,1124,339,5790,365,6552,1296,12650,2854,6060,17245,36959,11902,260,3985,11,30381,1087,82,151,32260,41,43791,30752,316982,19979,2990,422397,2401,18938,7079,561,9296,687,243,10676,156,646,81,18159,2248,6582,44,40741,298667,93,92,19616,4175,6037,44,478,547,325,419349,59,3965,6726,2409
